#RavenParameters.dat
#parameter name, class type, units, autogeneratable, reasonable default, minimum, maximum
#xxx provided as a missing value placeholder

UBC_E0LHI GLOBAL [0..1] False 0.0 0.0 1.0
UBC_P0GRADL GLOBAL [0..1] False 0.0 0.0 1.0
UBC_P0GRADM GLOBAL [0..1] False 0.0 0.0 1.0
UBC_P0GRADU GLOBAL [0..1] False 0.0 0.0 1.0
UBC_A0PELA GLOBAL [0..1] False 0.0 0.0 1.0
UBC_MAX_RANGE_TEMP GLOBAL [C] False 0.0 -50.0 50.0  # TO BE VERIFIED
UBC_A0PPTP GLOBAL [0..1] False 0.0 0.0 1.0

#UBC_snow_par
UBC_ALBASE GLOBAL [0..1] False 0.0 0.0 1.0
UBC_ALBREC GLOBAL [0..1] False 0.0 0.0 1.0
UBC_MAX_CUM_MELT GLOBAL [mm] False 0.0 0.0 50000.0
UBC_ALBSNW GLOBAL [0..1] False 0.0 0.0 1.0

#global_struct
UBC_LAPSE_PARAMS GLOBAL [-] xxx 0.0 0.0 1000.0        # MUST BE VERIFIED
UBC_SNOW_PARAMS GLOBAL [-] xxx -100.0 0.0 100.0   # MUST BE VERIFIED
RESERVOIR_RELAX GLOBAL [0..1] True 0.4 0.0 1.0
ASSIMILATION_FACT GLOBAL [0..1] True 1.0 0.0 1.0
ASSIM_UPSTREAM_DECAY GLOBAL [1/km] True 0.01 0.0 1.0
ASSIM_TIME_DECAY GLOBAL [1/d] True 0.2 0.0 1.0
RESERVOIR_DEMOND_MULT GLOBAL [0..1] False 0.0 0.0 1.0
HBVEC_LAPSE_UPPER GLOBAL [mm/d/km] True 0.0 0.0 0.1
HBVEC_LAPSE_RATE  GLOBAL [mm/d/km] True 0.08 0.0 0.1
HBVEC_LAPSE_ELEV GLOBAL [masl] True 5000.0 3000.0 7000.0
